,,,,,,,,,,,,,,,,RE Task & Application Domain,,,,,,,,GenAI Model & Configuration,,,LLM Application Strategy & Prompt Engineering,,,,,Outputs & Resources,,,,Evaluation,,,Study Quality,,,,,Challenges & Future Directions,,,,,,,,,,,
47,A framework for creating an IoT system specification with ChatGPT,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197645651&doi=10.1016%2fj.iot.2024.101218&partnerID=40&md5=3804719e738c978f2cbc9194913cfcfd,,,,,,,,,YES,F,1,,,,,"Internet of Things (IoT), specifically industrial/campus laboratory automation",Generation of IoT system requirements,GPT-3.5-turbo,NO,-,Standalone,"Iterative prompt chaining, context propagation","ZS, COT",Instruction,YES,no,no,no,no,"Expert survey (understandability, completeness, unambiguity, suitability, feasibility), Comparison to real implemented system","Expert study (survey of 40 IoT experts), case study (campus laboratory)",Functional suitability,1,1,1,1,4,no,yes,no,no,yes,yes,yes,no,yes,no,"concept/prototype, barriers highlighted","Token/context window limits, generality of ChatGPT (not domain-specific), need for stakeholder validation, integration challenges in regulated environments, only one use case tested"
48,Learning from Failures: Translation of Natural Language Requirements into Linear Temporal Logic with Large Language Models,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206388437&doi=10.1109%2fQRS62785.2024.00029&partnerID=40&md5=1f1d786585589a580091e7cb19f132ce,,,,,,,,,YES,F,,1,1,,,hardware verification (Arm AMBA AHB bus protocol),Requirement transformation,"GPT-3.5-Turbo, GPT-4, Gemini Pro ",NO,-,hybrid,"retrieval-augmented generation (RAG), in-context learning, interactive human-in-the-loop validation, model checker-guided search","FS, COT",Instruction,YES,SYNTHTL,yes,"AMBA AHB protocol NL/TL specifications (from prior work), example outputs",yes,"manual effort (inspections, edits), formula size (normalized), pruning rate, model checking speedup, culprit identification recall","case study, comparative evaluation with nl2spec baseline, quantitative analysis",Functional suitability,1,1,1,1,4,no,no,no,yes,yes,yes,yes,yes,yes,no,"concept/prototype, barriers highlighted","Scalability for very large search spaces, reliance on oracle (human) validation, ambiguity in NL, not all challenges (e.g., security, privacy) discussed."
49,"Can GPT-4 aid in detecting ambiguities, inconsistencies, and incompleteness in requirements analysis? A comprehensive case study.",,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204689412&doi=10.1109%2fACCESS.2024.3464242&partnerID=40&md5=2904125aca501b1457d0a7469526b2e4,,,,,,,,,YES,F,,,,1,,"Healthcare (mechanical lung ventilator, industrial SRS)","Ambiguity, inconsistency, and incompleteness validation",GPT-4,NO,-,Standalone,,ZS,Question,YES,no,no,"MLV SRS (Mechanical Lung Ventilator SRS, ABZ 2024 case study), custom QA dataset from GitHub issues",yes,"Precision (for ambiguity, inconsistency, completeness detection), Recall (for versioning and expert comparison), Severity rating (1-5), Human expert qualitative analysis, Answer accuracy (QA), Verbosity (QA), Reference citation (QA)","Case study, expert review, comparison with formal modeling, version tracking, QA dataset validation",Functional suitability,1,1,1,1,4,no,yes,yes,yes,yes,no,yes,yes,yes,no,"concept/prototype, barriers highlighted","Limited domain knowledge, inability to cross-reference globally, struggles with diagrams, verbose output, not a replacement for formal modeling"
50,Lessons from the Use of Natural Language Inference (NLI) in Requirements Engineering Tasks,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202710161&doi=10.1109%2fRE59067.2024.00020&partnerID=40&md5=e8f5fc97032f5dadc3271b62a8a510fa,,,,,,,,,YES,F,,1,,,,"General software requirements engineering (multiple domains, including public datasets and real-world software systems)",,GPT-3.5,NO,-,Standalone,"Label verbalization, knowledge integration, entailment reformulation, binary classification",ZS FS,Instruction,,no,no,"Promise, new requirements defects dataset, new conflicts dataset, public conflict datasets (Library, Coffee Machine, ETCS)",yes,"Accuracy, Precision, Recall, F1-score","Controlled experiment (benchmarking on multiple datasets, cross-validation)",Functional Appropriateness，Reliability,1,1,1,1,4,no,no,no,YES,YES,no,YES,YES,no,no,"concept/prototype, discussed potential, barriers highlighted",NLI struggles with compositional conflicts (multi-requirement interdependencies); prompt/verbalization design is dataset-dependent; generalizability limited to tested datasets; environmental/resource cost discussed.
51,Using LLMs in Software Requirements Specifications: An Empirical Evaluation,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202706343&doi=10.1109%2fRE59067.2024.00056&partnerID=40&md5=2f428309a8c336f10c23df70e3d874d0,,,,,,,,,YES,F,,,1,1,,software development tools (university club management portal and other general software systems),,GPT-4 and CodeLlam,NO,-,Standalone,"zero-shot, prompt-context tuning, iterative correction",FS,Instruction,,no,no,no,no,"Likert-scale human expert evaluation (completeness, conciseness, internal consistency, non-redundancy, unambiguity, understandability, correctness, verifiability), time-to-completion (effort reduction)","controlled experiment (human vs LLM SRS generation and validation, multiple use cases, anonymized expert review)",Functional Suitability，Reliability,1,1,1,1,4,no,no,YES,YES,YES,no,YES,YES,YES,no,"concept/prototype, barriers highlighted","LLM stochasticity, prompt/context sensitivity, lack of domain adaptation, hallucinations, incomplete outputs"
52,Transforming Software Requirements into User Stories with GPT-3.5 -: An AI-Powered Approach,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190131589&doi=10.1109%2fIDCIoT59759.2024.10467750&partnerID=40&md5=280733fe088a3bf03db506d67a2ef0ce,,,,,,,,,YES,F,1,,1,,,"General domain, with examples in healthcare and e-commerce",,GPT 3.5,NO,-,Standalone,,FS OS ZS,Instruction,,no,no,no,no,qualitative output inspection,demonstration/case study,Functional Suitability，Usability,1,1,1,1,4,no,no,YES,YES,YES,YES,no,YES,YES,no,concept/prototype,"No explicit discussion of limitations or challenges; future work suggests integration, customization, feedback loop, and additional features."
53,Generating Requirements Elicitation Interview Scripts with Large Language Models,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172431302&doi=10.1109%2fREW57809.2023.00015&partnerID=40&md5=15427b726d1d8a96959cb813af87ccc5,,,,,,,,,YES,F,,1,,,,Requirements engineering education (training/teaching RE interview skills),,GPT-3.5 and Bard,NO,-,Standalone,"Few-shot, chain-of-thought",FS COT,Instruction,,no,no,no,no,"completeness, coherence, accuracy, semantic similarity (BERTScore, cosine similarity)","Qualitative expert review, student/instructor feedback, planned quantitative comparison with expert-generated scripts",Functional Suitability，Interaction Capability,1,1,1,1,4,no,no,no,no,no,no,YES,YES,YES,no,concept/prototype,LLMs struggle with complex conversation graphs; limited performance on certain mistake types; no fine-tuning; future work needed for domain adaptation and interactive script generation
54,Generating domain models from natural language text using NLP: a benchmark dataset and experimental comparison of tools,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192837407&doi=10.1007%2fs10270-024-01176-y&partnerID=40&md5=05083072b9bb803d8276a3f8ed35b8de,,,,,,,,,YES,F,,1,,,,"General software engineering (multiple domains: business, education, technology, health, entertainment, finance, construction, transportation)",domain model extraction from NL requiremetns,ChatGPT 3.5,No,-,Standalone,zero-shot,-,Instruction,NO,No,No,Dataset for: Text requirements to models (IEEEDataPort),Yes,"precision, recall, F-measure (F1-score)",Controlled experiment (empirical comparison on benchmark dataset),Functional Suitability，Performance Efficiency， Reliability,1,1,1,0.5,3.5,no,no,no,YES,no,no,no,YES,no,no,concept/prototype,Limited number of tools evaluated; future work suggests more tool comparisons and extension to behavioral models.
55,An Automated Model of Software Requirement Engineering Using GPT-3.5,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190516542&doi=10.1109%2fICETSIS61505.2024.10459458&partnerID=40&md5=a0778e5b98c3f8782a1f05474651e5f5,,,,,,,,,YES,F,1,,,,,"General domain (banking, medical, college education, multimedia, retail)",Requirements elicitation through automated generation of survey and interview questions,ChatGPT 3.5,No,-,Standalone,Zero-shot,-,Instruction-based,YES,no,no,no,no,"Flesch Reading Ease, Flesch-Kincaid Grade Level, Average Clarity Score, Average Relevance Score, Average Completeness Score","Quantitative analysis of generated questions (readability, clarity, relevance, completeness)",Functional Suitability，Performance Efficiency， Reliability,1,0.5,1,0.5,3,no,no,no,no,no,no,no,YES,YES,no,concept,"Limited detail in prompts affects specificity; struggles with non-textual outputs (e.g., illustrations); improvement possible with more detailed prompts and fine-tuning"
56,Generating Specifications from Requirements Documents for Smart Devices Using Large Language Models (LLMs),,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195833507&doi=10.1007%2f978-3-031-60405-8_7&partnerID=40&md5=927f2c57da5be0672a3e54c3b0c2d890,,,,,,,,,YES,F,,1,1,,,Ambient Assisted Living,Requirements specification generation,"ChatGPT 4.0, Google Bard",No,-,Standalone,Iterative prompting,-,"Instruction, question",YES,No,No,Proprietary product concept catalogue,No,Human evaluation,Controlled experiment (zero-shot and fine-tuning evaluation on annotated DPA dataset),"Functional Suitability, Performance Efficiency ",1,1,1,1,4,no,no,YES,no,YES,YES,YES,YES,YES,YES,Prototype/experimental,Dependence on prompt quality;Limited generalizability 
57,Software development in the age of intelligence: embracing large language models with the right approach; [智能化时代的软件开发: 拥抱大模型的正确姿势],,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178939500&doi=10.1631%2fFITEE.2300537&partnerID=40&md5=c84c7138c549e5ce8616f7ee8de57c27,,,,,,,,,YES->NO,F,1,1,1,,,,UML diagram generation，,GPT-3.5， GPT4,No,-,,,-,interactive/iterative,YES,,,,,,,Functional Suitability， Reliability， Interaction Capability,1,0.5,1,1,3.5,no,YES,YES,YES,no,no,no,no,no,no,,
58,NLP4ReF: Requirements Classification and Forecasting: From Model-Based Design to Large Language Models,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193847289&doi=10.1109%2fAERO58975.2024.10521022&partnerID=40&md5=3b661c07d62eec8653637e41489a9f21,,,,,,,,,YES,F,1,,1,,,"Internet of Things (IoT), general software engineering",Requirements classification and generation,GPT 3.5,NO,-,Standalone,zero-shot,FS,Instruction,,NLP4ReF-GPT,yes,"PROMISE_exp, PROMISE_IoT, proprietary IoT project dataset",yes,"Authenticity, BLEU, Self-BLEU, human evaluation","case study, expert study",Functional Completeness，Reliability,1,1,1,1,4,YES,YES,YES,YES,YES,YES,no,YES,YES,no,"concept/prototype, discussed potential, barriers highlighted","Limited to one real-life project, GPT-3.5 only, dataset size, OpenAI API cost and input size, potential for future policy changes, NLTK model limited by training data"
59,Harnessing LLM Conversations for Goal Model Generation from User Reviews,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190775035&doi=10.5220%2f0012352200003636&partnerID=40&md5=6e2a81192e6c303fafdfec8e995c81cc,,,,,,,,,YES,F,,1,1,,,"Mobile applications (user reviews from Line, Google Docs, YouTube)",Review clustering for goal identification,GPT-4,No,-,Standalone,,-,Question， Instruction,YES,no,no,"proprietary dataset (150 user reviews from Line, Google Docs, YouTube)",no,"Tree-Edit-Distance-based Similarity (TEDS), precision, recall",controlled experiment (comparison with manual and existing automated methods),Functional Suitability， Performance Efficiency， Interaction Capability,1,1,1,1,4,no,no,No,no,no,no,yes,no,no,no,concept/prototype,Stability of LLM output and time complexity are discussed as limitations; suggestions for fine-tuning and few-shot learning are proposed for future work.
60,An Innovative Approach to Develop Persona from Application Reviews,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160573483&doi=10.5220%2f0011996000003464&partnerID=40&md5=9cbb764e3f4fb0a2be237e51f94b09d9,,,,,,,,,YES,F,1,,,,,"E-commerce applications (departmental stores, supermarket, pharmacy, retailer, food, fashion, etc.)",Persona generation,GPT-3,NO,0,Standalone,,ZS,Instruction,,no,no,proprietary dataset of 4931 e-commerce app reviews,no,"manual alignment (expectations/frustrations), accuracy (87% agreement in manual sample)","manual sampling and comparison, cross-case study",Functional Suitability Interaction Capability,1,1,1,0.5,3.5,no,no,yes,no,no,no,no,no,no,no,concept/prototype,"Limited to English reviews, small sample size, some manual analysis required, low quality of some review data, not directly transferable to other languages."
61,MAPE-K Loop-Based Goal Model Generation Using Generative AI,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174704008&doi=10.1109%2fREW57809.2023.00050&partnerID=40&md5=9d113f0783b2a6958a86b903645ff9ba,,,,,,,,,YES,F,,1,1,,,"General domain (case studies: library management system, cleaning robot)",Initial goal model generation,ChatGPT-4,No,-,Hybrid,"Role-based, iterative, prompt engineering, multi-expert simulation",-,Instruction,YES,no,no,no,no,Precision (for expert opinions),Case study,Functional Suitability ， Reliability， Interaction Capability,1,1,1,1,4,no,YES,YES,YES,no,no,YES,YES,YES,no,concept/prototype,LLMs may generate overly generic models; domain knowledge limitations; semi-automated process; need for case-specific goal integration
62,Requirements Modeling Aided by ChatGPT: An Experience in Embedded Systems,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174700840&doi=10.1109%2fREW57809.2023.00035&partnerID=40&md5=4f9f079d80f1428ba684dc9ad50c387a,,,,,,,,,YES,F,,1,,,,Embedded systems (digital home system),Domain model extraction,GPT-3.5,No,Temperature = 0.8,Standalone,Zero-shot,ZS,Instruction,YEs,no,no,Digital Home System requirements document (publicly linked),yes,Coverage (compared to manual modeling),Case study (comparison with manual modeling),Functional Suitability,1,1,1,1,4,no,no,no,YES,no,no,YES,no,no,no,concept/prototype,Prompt design is domain-specific; missing interactions and relations in auto-generated models; LLMs lack domain-specific RE knowledge; input requirements quality impacts extraction
63,MUCE: a multilingual use case model extractor using GPT-3,,2022,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124727718&doi=10.1007%2fs41870-022-00884-2&partnerID=40&md5=02c702b488147448d862922c06dc621b,,,,,,,,,YES,F,,1,,,,"General domain; multilingual software requirements (English, Spanish, French)",Multi-lingual use case extraction,GPT-3,No,Temperature = 0.5,Standalone,Few-shot learning (in-context learning),FS,Instruction,YES,MUCE,No,Proprietary corpus of 50 software engineering case studies (12 used for few-shot learning),No,"Precision, Recall, F1-score",Case study (comparison with human-generated gold standard),Functional Suitability,1,1,0.5,1,3.5,no,no,no,YES,no,no,YES,no,YES,no,concept/prototype,Tool is not open source; dataset is not public; performance depends on clarity of input requirements
64,On the Use of GPT-4 for Creating Goal Models: An Exploratory Study,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174689248&doi=10.1109%2fREW57809.2023.00052&partnerID=40&md5=34feeb56ed09dd870cc9502354c7dc24,,,,,,,,,YES,F,1,,,,,"Goal modeling in requirements engineering; domains: Kids Help Phone (well-known), Social Housing (less studied)",,GPT-4,No,0.5,"Standalone, interactive","Zero-shot, prompt engineering, iterative refinement (interactive feedback)",FS,Instruction,,no,no,"Custom exam questions, Kids Help Phone domain, Social Housing domain (proprietary)",yes,"Manual grading (0-5 scale) by experts, coverage of ground-truth model elements, percentage of correct/incorrect/reasonable elements","Controlled experiment, expert study, interactive session",Performance Efficiency，Usability,1,1,0.5,0.5,3,YES,no,no,YES,no,YES,YES,YES,YES,no,"concept/prototype, barriers highlighted","High output variation, generic responses, limited domain-specific reasoning, need for aggregation, path-dependence in interactive sessions"
65,The Return of Formal Requirements Engineering in the Era of Large Language Models,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190652313&doi=10.1007%2f978-3-031-57327-9_22&partnerID=40&md5=6a6957ef2b5d446efab54060b069cb43,,,,,,,,,YES,F,,,1,,,"General domain, with focus on software engineering and LLM-generated code",Formal requirements extraction from natural language,LLMs in general,No,-,Hybrid,,FS,instruction,No,no,no,no,no,,Vision/position paper; no empirical evaluation,"Reliability, Security",1,0.5,0,1,2.5,YES,YES,no,YES,no,no,YES,YES,no,no,concept/vision only,"Accessibility of formal methods, need for human-in-the-loop, lack of empirical validation"
66,Investigating ChatGPT's Potential to Assist in Requirements Elicitation Processes,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175597991&doi=10.1109%2fSEAA60479.2023.00061&partnerID=40&md5=6ef7b6e358ae85e7a90276b32000b82e,,,,,,,,,YES,F,1,,,,,"Trustworthy AI systems (general domain, including generative AI, autonomous vehicles, self-driving cars, AI chatbots)",,GPT-3.5,NO,-,Standalone,Zero-shot,,Question,,no,no,Supplementary material (ChatGPT responses); interview data (not public),yes,"Expert human evaluation (Abstraction, Atomicity, Consistency, Correctness, Unambiguity, Understandability, Feasibility)","Controlled experiment (comparison with human experts, double-blind evaluation)",Functional suitability，Security,1,1,1,1,4,YES,YES,YES,YES,no,no,YES,no,YES,no,concept/proof-of-concept,"Generalizability to other domains, construct validity, averaging of expert scores, one-shot prompt limitation"
67,Large Language Models in Enterprise Modeling: Case Study and Experiences,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190380959&doi=10.5220%2f0012387000003645&partnerID=40&md5=bac26357d48c439916079333a0539c97,,,,,,,,,YES,F,,1,1,,,"enterprise modeling (hospitality management, corporate event planning)",Enterprise modeling and process modeling,ChatGPT-4,No,-,Standalone,,ZS,instruction-based,YES,no,no,no,no,"accuracy, completeness, comprehensibility, time (efficiency)",quasi-experiment (comparison with domain expert),"Functional Suitability , Interaction Capability, Performance Efficiency",1,1,0.5,1,3.5,no,YES,no,YES,no,no,YES,YES,YES,no,concept/prototype,"Limited context understanding, sensitivity to input, inability to express uncertainty, not generalizable (single experiment), prompt engineering not systematic"
68,Leveraging Natural Language Processing for a Consistency Checking Toolchain of Automotive Requirements,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174411487&doi=10.1109%2fRE57278.2023.00029&partnerID=40&md5=d98c62b056132027522af34e29866df9,,,,,,,,,YES,F,,1,,1,,"Automotive requirements (Adaptive Light System, Advanced Driver Assistance System)",Automatic translation of natural language requirements into structured English,GPT-J,No,-,Standalone,Few-shot learning with OptKATE context selection,FS,Description,No,no,no,Daimler automotive requirements dataset,no,"BLEU, SE score (manual class-based metric)",Controlled experiment (transformation and consistency checking on real-world dataset),"Functional Suitability, Performance Efficiency , Reliability",1,1,0.5,1,3.5,no,no,no,YES,no,no,no,YES,YES,no,prototype,Manual review required for LLM outputs; rare false positives in consistency checking; dataset not public; only one LLM evaluated
69,CRAFTER: A Persona Generation Tool for Requirements Engineering,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193961909&doi=10.5220%2f0012718400003687&partnerID=40&md5=b119bedbee18c6221981f0d0a405d2d0,,,,,,,,,YES,F,1,,1,,,"General domain; supports multiple domains including health, education, software development, etc.",Domain-specific persona generation,GPT-3.5,No,-,Standalone,User-guided persona generation using LLM prompts based on user-selected domain and human factors.,FS,Description,No,CRAFTER,Yes,no,no,"System Usability Scale (SUS), qualitative user feedback",User study (questionnaire with 19 participants),"Functional Suitability, Interaction Capability, Maintainability, Flexibility",1,1,1,1,4,YES,YES,YES,YES,no,no,YES,YES,YES,no,concept/prototype,"User interface and navigation issues, lack of persona layout flexibility, limited context/domain adaptability, lack of introductory guidance for new users."
70,Prompt Patterns for Agile Software Project Managers: First Results,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188687773&doi=10.1007%2f978-3-031-53227-6_14&partnerID=40&md5=0bbb9dfd12db3ada0b4615c14b6e4046,,,,,,,,,YES,F,,1,,1,1,Agile Project Management ,Requirements engineering and management,GPT-3.5 and GPT-4,No,-,Standalone conversational assistant,No,FS,Instruction,YES,No,no,no,no,Human qualitative evaluation,Case-based empirical demonstration,"Functional Suitability , Interaction Capability, Reliability, Maintainability",1,1,1,1,4,YES,YES,YES,YES,no,no,YES,YES,YES,no,concept/prototype,Token-size limit (2048) may restrict large-scale RE specifications.
71,A Transformer-based Approach for Abstractive Summarization of Requirements from Obligations in Software Engineering Contracts,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174402797&doi=10.1109%2fRE57278.2023.00025&partnerID=40&md5=47d6bbb87806e5d0f9fd10eb69fde5dd,,,,,,,,,YES,F,1,1,,,,"General domain (13 domains: healthcare, automotive, finance, banking, pharmaceuticals, telecom, technology, clothing retail, supermarket, agriculture, ecommerce, manufacturing, logistics and supply chain)",,GPT-3,YES,-,Standalone,"few-shot (prompt engineering for GPT-3, fine-tuning for NLG models)",ZS,Instruction,,no,no,"Proprietary SE contracts dataset (251 contracts, 13 domains)",no,"ROUGE-1, ROUGE-2, ROUGE-L, human evaluation (Correctness, Coherence, Completeness, Readability, Conciseness)","Controlled experiment (automated metrics), expert study (human evaluation)",Functional suitability，Reliability,1,1,1,1,4,no,YES,YES,no,no,no,YES,YES,YES,no,concept/prototype,"Dataset generalizability, reliance on manual refinement, ROUGE limitations, human evaluation bias, inability to fine-tune GPT-3, proprietary data"
72,Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174384397&doi=10.1109%2fRE57278.2023.00045&partnerID=40&md5=b8959a0ae02bbd555cdc01b46b60a647,,,,,,,,,YES,S,,,,1,,"General domain (software requirements for coffee machine, e-shop, library system, train control system)",,GPT-3.5,NO,-,Standalone,Zero-shot,OS,Instruction,,no,no,Zenodo archive (https://zenodo.org/record/8089810),Yes,"precision, recall",Controlled experiment (comparison with expert judgment),Reliability，Maintainability,1,1,1,1,4,no,no,no,YES,no,no,no,YES,YES,no,concept/prototype,Limited to short documents; performance drops with longer/more complex requirements; only preliminary results; small number of participants
73,"Large Language Model Assisted Software Engineering: Prospects, Challenges, and a Case Study",,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180630873&doi=10.1007%2f978-3-031-46002-9_23&partnerID=40&md5=317aeedef81c776751800c5f7caa7a52,,,,,,,,,YES,F,1,1,1,1,,"General domain (software requirements for coffee machine, e-shop, library system, train control system)",Requirements elication and refinement,ChatGPT Google's Bard,No,-,Hybrid,GPT/Bard,FS,Iterative /Question,No,No,no,no,no,"human reviewers, and quantitatively,BLEU, ROUGE ",Controlled experiment (comparison with expert judgment),"Functional Suitability， Interaction Capability
Reliability",1,1,1,1,4,YES,YES,YES,YES,YES,no,YES,YES,YES,YES,concept,Legal Uncertainty and Copyright Issues.
74,Large language models in requirements engineering for digital twins,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186961854&partnerID=40&md5=ee90c31d4520c375549194130c380710,,,,,,,,,YES,F,1,,,,,Digital twin engineering for air conditioning and ventilation systems,,GPT4,NO,-,Standalone,"Role prompting, iterative prompting, feedback loop",,Instruction,,no,no,no,no,"completeness, correctness (expert evaluation)","quasi-experiment, qualitative content analysis, expert evaluation",Functional suitability，Reliability,1,1,1,1,4,,,,,,,,,,,concept/prototype,"Single domain expert, limited domain, ChatGPT cannot interpret visual material, prompt engineering not fully explored, data cutoff limits, consistency issues"
75,Requirements Verification Through the Analysis of Source Code by Large Language Modelså,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191742945&doi=10.1109%2fSoutheastCon52093.2024.10500073&partnerID=40&md5=e119f7de29930b833cca2c5cce6de4ab,,,,,,,,,YES,F,,,,1,,general software development (code verification against requirements),Requirements verification and analysis,GPT3.5,NO,-,Standalone,zero-shot,-,"Instruction, iterative",,no,no,no,no,qualitative analysis (requirement satisfaction assessment),case study (multiple code/requirement scenarios),Functional Correctness，Reliability,1,1,1,1,4,no,YES,no,YES,YES,no,no,YES,YES,no,concept/prototype,Limited to qualitative scenarios; no large-scale or quantitative evaluation
76,LLM-Based Class Diagram Derivation from User Stories with Chain-of-Thought Promptings,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196535115&doi=10.1109%2fCOMPSAC61105.2024.00017&partnerID=40&md5=a6538760d541339e5bd4c8587606d91d,,,,,,,,,YES,F,,1,,,,"General domain (agile software projects, user stories to class diagrams)",Class identification,GPT-3.5-turbo,NO,-,Standalone,"Chain-of-thought, zero-shot, few-shot",COT,Instruction/description,YES,no,no,User stories from Project Data Hub (DH) and Planning Poker (PP) (from [17]),no,"validity (precision), completeness (recall), human evaluation","Case study, comparative experiment with human and LLM baselines",Functional Suitability， Performance Efficiency ， Reliability,1,1,1,1,4,YES,no,no,YES,YES,no,YES,YES,YES,no,concept/prototype,"LLM struggles with aggregation summarization, status attribute identification, and relationship inference when context is implicit."
77,Extracting Domain Models from Textual Requirements in the Era of Large Language Models,,2023,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175600987&doi=10.1109%2fMODELS-C59198.2023.00096&partnerID=40&md5=382007bd0bd9f1adad0b4c572becf766,,,,,,,,,YES,F,,1,,,,"General domain (agile software development, user story backlogs)",Domain model extraction,GPT-3.5,NO,0,Standalone,"Function call API with JSON schema constraints, prompt engineering, conversation-based extraction",FS,Instruction,,no,no,"Dalpiaz et al. (2018) user story dataset (22 products, 1,679 user stories), manual annotation (Doccano)",yes,F1-score,"Controlled experiment (comparison to ground truth and two baselines: Visual Narrator, CRF)","Functional suitability, Maintainability",1,1,1,1,4,no,YES,YES,YES,YES,YES,YES,YES,YES,no,"concept/prototype, barriers highlighted","Limited to GPT-3.5, prompt engineering is a black box, only public datasets, privacy concerns for proprietary data, only F1 metric, no external annotation validation"
78,Towards an automatic contradiction detection in requirements engineering,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194078808&doi=10.1017%2fpds.2024.207&partnerID=40&md5=07d66edb9986459bb75b86598a6a92a2,,,,,,,,,YES,F,,1,,,,"engineering/product development, specifically electric bus systems and general technical requirements",requirements contradiction detection,GPT-3,NO,-,hybrid,formal logic + LLM (prompt engineering),ZS,instruction-based,No,ALICE,no,"Dataset 1 (curated), Dataset 2 (electric bus, 1071 pairs), Dataset 3 (electric bus, 3916 pairs)",partial,"accuracy, recall",controlled experiment (manual labeling and validation),"Functional Suitability,Reliability, Maintainability",1,1,0.5,0.5,3,No,YES,YES,YES,Computational cost,No,No,Reproducibility,No,No,"concept/prototype, discussed potential, barriers highlighted",Requires controlled natural language; atomicity; filler words and passive voice can cause errors; overfitting risk due to limited dataset; not optimized for speed
79,"Which AI Technique Is Better to Classify Requirements? An Experiment with SVM, LSTM, and ChatGPT",,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193068034&partnerID=40&md5=9e2cd1fb480cf135828ef43c5be4352e,,,,,,,,,YES,F,,1,,,,"general domain (software requirements classification across multiple datasets: PROMISE, Dronology, ReqView, Leeds Library, WASP)",Enhanced requirements classification,gpt-3.5-turbo and gpt-4,NO,-,Standalone,,ZS FS,Instruction,,no,no,"PROMISE, Dronology, ReqView, Leeds Library, WASP",yes,"F-beta score (class-weighted), precision, recall",controlled experiment (empirical evaluation on public datasets),Functional Appropriateness，Reliability,1,1,1,1,4,YES,no,no,YES,YES,YES,no,YES,YES,no,barriers (limitations and threats to validity discussed),"Prompt sensitivity, non-determinism, dataset imbalance, subjectivity of annotations, server/API errors"
